Game ID,Year,Region,Round,Game Location,Better Seed,Team - Better Seed,Spread,Over/Under Total,Worse Seed,Team - Worse Seed,Better Seed Ken Pom,Worse Seed Ken Pom,Better Seed and Worse Ken Pom?,Ken Pom Ranking Margin,KP EM Diff,Better Seed KP Expected Margin,Worse Seed KP Expected Marg.,Better Seed Adj Off. Eff Rank,Worse Seed Adjusted Off Eff. Rank,Better Seed Adj. Def Eff. Rank,Worse Seed Adjusted Def. Rank,Futures Better to F4,Futures Worse to F4,Peoples Choice ,PC Worse,Advanced data calculated in R using sports-reference.com/cbb
18,2018,West,1) Round of 64,Boise,5,Ohio-state,-8,147,12,South-dakota-state,15,77,No,62,10.63,21.11,10.48,27,41,16,148,0.076923077,0.00990099,,,
19,2018,West,1) Round of 64,Boise,4,Gonzaga,-12,136,13,north-carolina-greensboro,8,82,No,74,15.67,24.73,9.06,12,164,17,30,0.285714286,0.003322259,,,
20,2018,West,1) Round of 64,Wichita,6,houston,-4,142.5,11,san-diego-state,17,50,No,33,6.41,20.55,14.14,31,69,18,36,0.076923077,0.019607843,,,
21,2018,West,1) Round of 64,Wichita,3,Michigan,-12,135,14,montana,10,71,No,61,12.38,23.2,10.82,29,82,4,66,0.25,0.001996008,,,
22,2018,West,1) Round of 64,Charlotte,7,Texas A&M,-3.5,138,10,Providence,30,63,No,33,4.99,16.91,11.92,71,105,12,35,0.047619048,0.019607843,,,
23,2018,West,1) Round of 64,Charlotte,2,north-carolina,-19.5,161,15,lipscomb,7,1.65,Yes,-5.35,24.65,25.03,0.38,4,195,34,131,0.285714286,0.00049975,0.017563894,1.32001E-11,
31,2018,Midwest,1) Round of 64,Wichita,1,kansas,-15.5,146.5,16,pennsylvania,9,127,No,118,19.53,23.23,3.7,6,205,46,73,0.307692308,0.000999001,0.017151202,8.51283E-10,
32,2018,Midwest,1) Round of 64,wichita,8,seton hall,-2,157.5,9,north-carolina-state,26,41,No,15,2.2,17.33,15.13,26,24,58,100,0.032258065,0.016393443,,,
33,2018,Midwest,1) Round of 64,San Diego_,5,clemson,-5,133,12,new-mexico-state,19,55,No,36,6.71,20.27,13.56,48,116,8,14,0.047619048,0.012345679,,,
34,2018,Midwest,1) Round of 64,San Diego_,4,auburn,-11,148.5,13,college-of-charleston,16,120,No,104,15.89,20.63,4.74,16,87,44,167,0.076923077,0.003322259,,,
35,2018,Midwest,1) Round of 64,detroit,6,texas-christian,-3,140,11,arizona-state,22,45,No,23,4.2,18.91,14.71,8,17,104,124,0.047619048,0.022246669,,,
36,2018,Midwest,1) Round of 64,detroit,3,michigan-state,-14,147.5,14,bucknell,6,100,No,94,19.53,26.34,6.81,9,99,9,112,0.333333333,0.003322259,,,
37,2018,Midwest,1) Round of 64,pittsburgh,7,rhode-island,-2,158,10,oklahoma,47,46,Yes,-1,-0.04,14.38,14.42,66,38,38,83,0.032258065,0.012345679,,,
38,2018,Midwest,1) Round of 64,pittsburgh,2,duke,-20.5,157,15,iona,3,134,No,131,26.25,29.13,2.88,3,80,7,212,0.4,0.00049975,,,
46,2018,South,1) Round of 64,Charlotte,1,Virginia,-23,121.5,16,maryland-baltimore-county,1,184,No,183,34.06,32.15,-1.91,21,170,1,178,0.476190476,0.00019996,0.273203353,2.05E-10,
47,2018,South,1) Round of 64,Charlotte,8,Creighton,-2,144.5,9,Kansas-state,27,44,No,17,2.53,17.28,14.75,22,60,61,41,0.016393443,0.016393443,,,
48,2018,South,1) Round of 64,Boise,5,Kentucky,-6,143,12,Davidson,18,43,No,25,5.48,20.39,14.91,25,18,23,115,0.142857143,0.016393443,,,
49,2018,South,1) Round of 64,Boise,4,Arizona,-9,157.5,13,Buffalo,21,75,No,54,8.78,19.36,10.58,15,42,70,136,0.2,0.004975124,,,
50,2018,South,1) Round of 64,Dallas,6,Miami (FL),-2,134,11,loyola-il,36,42,No,6,0.62,15.71,15.09,52,68,45,24,0.032258065,0.016393443,,,
51,2018,South,1) Round of 64,Dallas,3,Tennessee,-13,132,14,wright-state,11,135,No,124,19.34,22.15,2.81,40,248,5,53,0.125,0.003984064,,,
52,2018,South,1) Round of 64,Nashville,7,Nevada,-1,143.5,10,texas,24,39,No,15,2.71,18.17,15.46,10,94,105,10,0.016393443,0.016393443,,,
53,2018,South,1) Round of 64,Nashville,2,Cincinnati,-14,129.5,15,Georgia-state,4,96,No,92,19.78,27,7.22,54,102,2,106,0.266666667,0.000999001,,,
9,2018,East,2) Second Round,Pittsburgh,,,,,,,,,No,0,0,,,,,,,,,,,
10,2018,East,2) Second Round,San Diego_,,,,,,,,,No,0,0,,,,,,,,,,,
11,2018,East,2) Second Round,Dallas,,,,,,,,,No,0,0,,,,,,,,,,,
12,2018,East,2) Second Round,Detroit,,,,,,,,,No,0,0,,,,,,,,,,,
13,2018,East,3) Sweet 16,Boston,,,,,,,,,No,0,0,,,,,,,,,,,
14,2018,East,3) Sweet 16,Boston,,,,,,,,,No,0,0,,,,,,,,,,,
15,2018,East,4) Elite 8,Boston,,,,,,,,,No,0,0,,,,,,,,,,,
24,2018,West,2) Second Round,Nashville,,,,,,,,,No,0,0,,,,,,,,,,,
25,2018,West,2) Second Round,Boise,,,,,,,,,No,0,0,,,,,,,,,,,
26,2018,West,2) Second Round,Wichita,,,,,,,,,No,0,0,,,,,,,,,,,
27,2018,West,2) Second Round,Charlotte,,,,,,,,,No,0,0,,,,,,,,,,,
28,2018,West,3) Sweet 16,Los Angeles,,,,,,,,,No,0,0,,,,,,,,,,,
29,2018,West,3) Sweet 16,Los Angeles,,,,,,,,,No,0,0,,,,,,,,,,,
30,2018,West,4) Elite 8,Los Angeles,,,,,,,,,No,0,0,,,,,,,,,,,
39,2018,Midwest,2) Second Round,Wichita,,,,,,,,,No,0,0,,,,,,,,,,,
40,2018,Midwest,2) Second Round,San diego_,,,,,,,,,No,0,0,,,,,,,,,,,
41,2018,Midwest,2) Second Round,Detroit,,,,,,,,,No,0,0,,,,,,,,,,,
42,2018,Midwest,2) Second Round,pittsburgh,,,,,,,,,No,0,0,,,,,,,,,,,
43,2018,Midwest,3) Sweet 16,Omaha,,,,,,,,,No,0,0,,,,,,,,,,,
44,2018,Midwest,3) Sweet 16,Omaha,,,,,,,,,No,0,0,,,,,,,,,,,
45,2018,Midwest,4) Elite 8,Omaha,,,,,,,,,No,0,0,,,,,,,,,,,
54,2018,South,2) Second Round,Charlotte,,,,,,,,,No,0,0,,,,,,,,,,,
55,2018,South,2) Second Round,Boise,,,,,,,,,No,0,0,,,,,,,,,,,
56,2018,South,2) Second Round,Dallas,,,,,,,,,No,0,0,,,,,,,,,,,
57,2018,South,2) Second Round,Nashville,,,,,,,,,No,0,0,,,,,,,,,,,
58,2018,South,3) Sweet 16,Atlanta,,,,,,,,,No,0,0,,,,,,,,,,,
59,2018,South,3) Sweet 16,Atlanta,,,,,,,,,No,0,0,,,,,,,,,,,
60,2018,South,4) Elite 8,Atlanta,,,,,,,,,No,0,0,,,,,,,,,,,
